"Accepted Symbol","Synonym Symbol","Scientific Name"
"ABES","","Abelmoschus esculentus"
"ABES","HIES","Hibiscus esculentus"
"ABMA9","","Abelmoschus manihot"
"ABMA9","HIMA9","Hibiscus manihot"
"ABMO","","Abelmoschus moschatus"
"ABMO","HIAB","Hibiscus abelmoschus"
"ABOV","","Abildgaardia ovata"
"ABOV","ABMO4","Abildgaardia monostachya"
"ABOV","CYMO10","Cyperus monostachyos"
"ABOV","FIMO2","Fimbristylis monostachya"
"ABOV","FIOV","Fimbristylis ovata"
"ABAM3","","Abronia ammophila"
"ABAM3","ABFE","Abronia fendleri"
"ABAN","","Abronia angustifolia"
"ABAN","ABANA","Abronia angustifolia var. arizonica"
"ABAN","ABTO","Abronia torreyi"
"ABEL","","Abronia elliptica"
"ABEL","ABFRE2","Abronia fragrans var. elliptica"
"ABEL","ABPU2","Abronia pumila"
"ABEL","ABRA","Abronia ramosa"
"ABEL","ABSA3","Abronia salsa"
"ABNAC","","Abronia nana var. covillei"
"ABNAC","ABNAC2","Abronia nana ssp. covillei"
"ABTU","","Abronia turbinata"
"ABTU","ABEX","Abronia exalata"
"ABTU","ABOR2","Abronia orbiculata"
"ABUMU","","Abronia umbellata ssp. umbellata"
"ABUMU","ABAL2","Abronia alba"
"ABUMU","ABPL","Abronia platyphylla"
"ABUMU","ABUMA4","Abronia umbellata ssp. alba"
"ABUMU","ABUMP","Abronia umbellata ssp. platyphylla"
"ABUMU","ABUMV","Abronia umbellata ssp. variabilis"
"ABUMU","ABVA","Abronia variabilis"
"ABVIA","","Abronia villosa var. aurita"
"ABVIA","ABPI2","Abronia pinetorum"
"ABPR3","","Abrus precatorius"
"ABPR3","ABAB2","Abrus abrus"
"ABAB","","Abutilon abutiloides"
"ABAB","ABAM5","Abutilon americanum"
"ABAB","ABJA","Abutilon jacquinii"
"ABAB","ABLI","Abutilon lignosum"
"ABBE","","Abutilon berlandieri"
"ABBE","ABCA2","Abutilon californicum"
"ABFR3","","Abutilon fruticosum"
"ABFR3","ABTE","Abutilon texense"
"ABHU","","Abutilon hulseanum"
"ABHU","ABCO2","Abutilon commutatum"
"ABHU","ABPA4","Abutilon pauciflorum"
"ABIN","","Abutilon incanum"
"ABIN","ABINI","Abutilon incanum ssp. incanum"
"ABIN","ABINP","Abutilon incanum ssp. pringlei"
"ABIN","ABPR4","Abutilon pringlei"
"ABINA","","Abutilon indicum ssp. albescens"
"ABINA","ABASA","Abutilon asiaticum var. albescens"
"ABMO2","","Abutilon mollicomum"
"ABMO2","ABSO","Abutilon sonorae"
"ABTR","","Abutilon trisulcatum"
"ABTR","ABTR2","Abutilon triquetrum"
"ACEM","","Acacia ×emoryana"
"ACAN","","Acacia angustissima"
"ACBE","","Acacia berlandieri"
"ACCH","","Acacia choriophylla"
"ACCO2","","Acacia constricta"
"ACCO5","","Acacia cornigera"
"ACDE","","Acacia decurrens"
"ACDE","MIDE17","Mimosa decurrens"
"ACFA","","Acacia farnesiana"
"ACGR","","Acacia greggii"
"ACLO","","Acacia longifolia"
"ACLO","ACLA","Acacia latifolia"
"ACMA","","Acacia macracantha"
"ACMI","","Acacia millefolia"
"ACNE4","","Acacia neovernicosa"
"ACPA8","","Acacia paradoxa"
"ACPA8","ACAR15","Acacia armata"
"ACPI","","Acacia pinetorum"
"ACRI","","Acacia rigidula"
"ACRO","","Acacia roemeriana"
"ACSA","","Acacia saligna"
"ACSA","ACCY","Acacia cyanophylla"
"ACSC2","","Acacia schaffneri"
"ACSC","","Acacia schottii"
"ACSP4","","Acacia sphaerocephala"
"ACTO","","Acacia tortuosa"
"ACNO7","","Acaena novae-zelandiae"
"ACNO7","ACAN3","Acaena anserinifolia"
"ACNO7","ACNO4","Acaena novae-zelandica"
"ACNO7","ACSA4","Acaena sanguisorbae"
"ACPIC2","","Acaena pinnatifida var. californica"
"ACPIC2","ACCA2","Acaena californica"
"ACAL2","","Acalypha alopecuroidea"
"ACAL2","ACAR17","Acalypha aristata"
"ACAMW","","Acalypha amentacea ssp. wilkesiana"
"ACAR16","","Acalypha arvensis"
"ACAR16","ACAR19","Acalypha aristata"
"ACCA3","","Acalypha californica"
"ACCA3","ACPR","Acalypha pringlei"
"ACMO4","","Acalypha monococca"
"ACMO4","ACGRM","Acalypha gracilens var. monococca"
"ACMO4","ACGRM2","Acalypha gracilens ssp. monococca"
"ACMO4","ACVIM","Acalypha virginica var. monococca"
"ACMO","","Acalypha monostachya"
"ACMO","ACHE","Acalypha hederacea"
"ACOS","","Acalypha ostryifolia"
"ACOS","ACCA8","Acalypha caroliniana"
"ACPH3","","Acalypha phleoides"
"ACPH3","ACLI","Acalypha lindheimeri"
"ACPH3","ACLIM","Acalypha lindheimeri var. major"
"ACPO","","Acalypha poiretii"
"ACPO","ACIN","Acalypha indica"
"ACSPS2","","Acamptopappus sphaerocephalus var. sphaerocephalus"
"ACSPS2","APSP2","Aplopappus sphaerocephalus"
"ACTE4","","Acanthocereus tetragonus"
"ACTE4","ACFL3","Acanthocereus floridanus"
"ACTE4","ACPE5","Acanthocereus pentagonus"
"ACTE4","CATE30","Cactus tetragonus"
"ACTE4","CEPE4","Cereus pentagonus"
"ACDU2","","Acanthomintha duttonii"
"ACDU2","ACOBD","Acanthomintha obovata ssp. duttonii"
"ACOBC","","Acanthomintha obovata ssp. cordata"
"ACOBO","","Acanthomintha obovata ssp. obovata"
"ACAU2","","Acanthospermum australe"
"ACAU2","ACXA","Acanthospermum xanthioides"
"ACAU2","MEAU","Melampodium australe"
"ACHU","","Acanthospermum humile"
"ACHU","MEHU5","Melampodium humile"
"ACFL","","Acer floridanum"
"ACFL","ACBA3","Acer barbatum"
"ACFL","ACBAL","Acer barbatum var. longii"
"ACFL","ACBAV","Acer barbatum var. villipes"
"ACFL","ACFLL","Acer floridanum var. longii"
"ACFL","ACFLV","Acer floridanum var. villipes"
"ACFL","ACNIF","Acer nigrum var. floridanum"
"ACFL","ACSAF","Acer saccharum ssp. floridanum"
"ACFL","ACSAF2","Acer saccharinum var. floridanum"
"ACFL","ACSAF3","Acer saccharum var. floridanum"
"ACFL","SABA13","Saccharodendron barbatum"
"ACFL","SAFL8","Saccharodendron floridanum"
"ACGLD3","","Acer glabrum var. diffusum"
"ACGLD3","ACDI","Acer diffusum"
"ACGLD3","ACGLD","Acer glabrum ssp. diffusum"
"ACGLG2","","Acer glabrum var. glabrum"
"ACGLG2","ACGLT3","Acer glabrum var. tripartitum"
"ACGLG2","ACGLT4","Acer glabrum var. typicum"
"ACGLG2","ACTR3","Acer tripartitum"
"ACGLN2","","Acer glabrum var. neomexicanum"
"ACGLN2","ACGLN","Acer glabrum ssp. neomexicanum"
"ACGLN2","ACGLP","Acer glabrum var. parviflorum"
"ACGLN2","ACNE6","Acer neomexicanum"
"ACGLT2","","Acer glabrum var. torreyi"
"ACGLT2","ACGLT","Acer glabrum ssp. torreyi"
"ACGLT2","ACTO2","Acer torreyi"
"ACGRG","","Acer grandidentatum var. grandidentatum"
"ACGRG","ACSAG2","Acer saccharum ssp. grandidentatum"
"ACGRG","ACSAG3","Acer saccharum var. grandidentatum"
"ACGRG","SAGR17","Saccharodendron grandidentatum"
"ACGRS","","Acer grandidentatum var. sinuosum"
"ACGRS","ACBR","Acer brachypterum"
"ACGRS","ACGRB","Acer grandidentatum var. brachypterum"
"ACGRS","ACSAB","Acer saccharum ssp. brachypterum"
"ACGRS","ACSAS3","Acer saccharum var. sinuosum"
"ACGRS","ACSI3","Acer sinuosum"
"ACLE","","Acer leucoderme"
"ACLE","ACNIL","Acer nigrum var. leucoderme"
"ACLE","ACSAL","Acer saccharum ssp. leucoderme"
"ACLE","ACSAL2","Acer saccharum var. leucoderme"
"ACLE","SALE8","Saccharodendron leucoderme"
"ACNEC2","","Acer negundo var. californicum"
"ACNEC2","ACNEC","Acer negundo ssp. californicum"
"ACNEC2","NECA6","Negundo californicum"
"ACNEI2","","Acer negundo var. interius"
"ACNEI2","ACIN3","Acer interius"
"ACNEI2","ACNEI","Acer negundo ssp. interius"
"ACNEI2","NEACI","Negundo aceroides ssp. interius"
"ACNEI2","NEIN3","Negundo interius"
"ACNET","","Acer negundo var. texanum"
"ACNET","ACNEL","Acer negundo ssp. latifolium"
"ACNEV","","Acer negundo var. violaceum"
"ACNEV","NEACV","Negundo aceroides ssp. violaceum"
"ACRUD","","Acer rubrum var. drummondii"
